,Rk,Player,Tm,FantPos,Age,Games_G,Games_GS,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Fumbles_Fmb,Fumbles_FL,Scoring_TD,Scoring_2PM,Scoring_2PP,Fantasy_FantPt,Fantasy_PPR,Fantasy_DKPt,Fantasy_FDPt,Fantasy_VBD,Fantasy_PosRank,Fantasy_OvRank,Touches,FantPt/Touch
39,39,CeeDee Lamb,DAL,WR,22,16,13,0,0,0,0,0,9,76,8.44,0,120,79,1102,13.95,6,0,0,6,,,154,232.8,235.8,193.3,32,14,39,88.0,1.75
40,40,Kyler Murray,ARI,QB,24,14,14,333,481,3787,24,10,88,423,4.81,5,0,0,7,,0,13,0,5,,,300,300.5,316.5,310.5,32,10,40,88.0,0.0
41,41,Kirk Cousins,MIN,QB,33,16,16,372,561,4221,33,7,29,115,3.97,1,0,0,0,,0,12,2,1,,,300,300.3,315.3,307.3,32,11,41,29.0,0.0
42,42,Aaron Jones,GNB,RB,27,15,15,0,0,0,0,0,171,799,4.67,4,65,52,391,7.52,6,2,1,10,,,177,229.0,236.0,203.0,31,13,42,223.0,0.7937219730941704
43,43,Keenan Allen,LAC,WR,29,16,16,0,1,0,0,0,0,0,,0,157,106,1138,10.74,6,1,0,6,,1,152,257.8,260.8,204.8,30,15,43,106.0,1.4339622641509433
44,44,Derrick Henry,TEN,RB,27,8,8,1,1,5,1,0,219,937,4.28,10,20,18,154,8.56,0,1,0,10,1,,175,193.3,199.3,184.3,29,14,44,237.0,0.7383966244725738
45,45,Michael Pittman Jr.,IND,WR,24,17,17,0,0,0,0,0,5,44,8.80,0,129,88,1082,12.30,6,1,0,6,1,,151,238.6,241.6,194.6,29,16,45,93.0,1.6236559139784945
46,46,Dalvin Cook,MIN,RB,26,13,13,0,0,0,0,0,249,1159,4.65,6,49,34,224,6.59,0,3,2,6,1,,172,206.3,214.3,189.3,26,15,46,283.0,0.607773851590106
47,47,Josh Jacobs,LVR,RB,23,15,14,0,0,0,0,0,217,872,4.02,9,64,54,348,6.44,0,2,2,9,,,172,226.0,234.0,199.0,26,16,47,271.0,0.6346863468634686
48,48,Rob Gronkowski,TAM,TE,32,12,12,0,0,0,0,0,0,0,,0,89,55,802,14.58,6,0,0,6,,,116,171.2,174.2,143.7,25,5,48,55.0,2.109090909090909
49,49,Tee Higgins,CIN,WR,22,14,14,0,0,0,0,0,0,0,,0,110,74,1091,14.74,6,1,1,6,1,,145,219.1,223.1,182.1,24,17,49,74.0,1.9594594594594594
50,50,Dawson Knox,BUF,TE,25,15,14,0,0,0,0,0,0,4,,0,71,49,587,11.98,9,0,0,9,,1,115,164.1,167.1,139.6,23,6,50,49.0,2.3469387755102042
51,51,D.J. Moore,CAR,WR,24,17,17,0,0,0,0,0,8,48,6.00,0,163,93,1157,12.44,4,1,1,4,1,,145,237.5,241.5,191.0,23,18,51,101.0,1.4356435643564356
52,52,Chris Godwin,TAM,WR,25,14,14,0,0,0,0,0,4,21,5.25,1,127,98,1103,11.26,5,2,2,6,,,144,242.4,247.4,193.4,23,19,52,102.0,1.411764705882353
53,53,Hunter Henry,NWE,TE,27,17,10,0,0,0,0,0,0,0,,0,75,50,603,12.06,9,0,0,9,,,114,164.3,167.3,139.3,23,7,53,50.0,2.28
54,54,Melvin Gordon,DEN,RB,28,16,16,0,0,0,0,0,203,918,4.52,8,38,28,213,7.61,2,3,3,10,,,167,195.1,204.1,181.1,21,17,54,231.0,0.7229437229437229
55,55,Jaylen Waddle,MIA,WR,23,16,16,0,0,0,0,0,2,3,1.50,1,140,104,1015,9.76,6,2,1,7,,,142,245.8,249.8,193.8,20,21,55,106.0,1.3396226415094339
56,56,Brandin Cooks,HOU,WR,28,16,16,0,0,0,0,0,2,21,10.50,0,134,90,1037,11.52,6,0,0,6,,,142,231.8,234.8,186.8,20,20,56,92.0,1.5434782608695652
57,57,Dallas Goedert,PHI,TE,26,15,14,0,0,0,0,0,0,0,,0,76,56,830,14.82,4,1,0,4,1,,109,165.0,168.0,137.0,17,8,57,56.0,1.9464285714285714
58,58,Darnell Mooney,CHI,WR,24,17,14,0,0,0,0,0,6,32,5.33,1,140,81,1055,13.02,4,0,0,5,,,139,219.7,222.7,179.2,17,22,58,87.0,1.5977011494252873
59,59,Kyle Pitts,ATL,TE,21,17,15,0,0,0,0,0,0,0,,0,110,68,1026,15.09,1,0,0,1,,,109,176.6,179.6,142.6,17,9,59,68.0,1.6029411764705883
61,60,Javonte Williams,DEN,RB,21,17,1,0,0,0,0,0,203,903,4.45,4,53,43,316,7.35,3,2,1,7,,,162,204.9,211.9,183.4,16,18,60,246.0,0.6585365853658537
62,61,Amon-Ra St. Brown,DET,WR,22,17,9,0,0,0,0,0,7,61,8.71,1,119,90,912,10.13,5,0,0,6,2,,137,227.3,230.3,182.3,16,23,61,97.0,1.4123711340206186
63,62,Zach Ertz,2TM,TE,31,17,14,0,0,0,0,0,1,4,4.00,0,112,74,763,10.31,5,0,0,5,,,107,180.7,183.7,143.7,15,10,62,75.0,1.4266666666666667
64,63,Terry McLaurin,WAS,WR,26,17,17,0,0,0,0,0,1,12,12.00,0,130,77,1053,13.68,5,0,0,5,,,137,213.5,216.5,175.0,15,24,63,78.0,1.7564102564102564
65,64,Marquise Brown,BAL,WR,24,16,16,0,0,0,0,0,1,5,5.00,0,146,91,1008,11.08,6,3,1,6,,,135,226.3,230.3,180.8,14,25,64,92.0,1.4673913043478262
66,65,Amari Cooper,DAL,WR,27,15,14,0,0,0,0,0,0,0,,0,104,68,865,12.72,8,1,0,8,,,135,202.5,205.5,168.5,13,26,65,68.0,1.9852941176470589
67,66,Devin Singletary,BUF,RB,24,17,16,0,0,0,0,0,188,870,4.63,7,50,40,228,5.70,1,5,0,8,,,158,197.8,203.8,177.8,12,19,66,228.0,0.6929824561403509
68,67,Adam Thielen,MIN,WR,31,13,13,0,0,0,0,0,1,2,2.00,0,95,67,726,10.84,10,1,0,10,,,133,199.8,202.8,166.3,11,27,67,68.0,1.9558823529411764
69,68,Christian Kirk,ARI,WR,25,17,11,1,1,33,0,0,1,11,11.00,0,103,77,982,12.75,5,0,0,5,,,131,207.6,210.6,169.1,9,28,68,78.0,1.6794871794871795
70,69,David Montgomery,CHI,RB,24,13,13,0,1,0,0,1,225,849,3.77,7,51,42,301,7.17,0,1,1,7,,,153,195.0,203.0,175.0,7,20,69,267.0,0.5730337078651685
